,Boost class num,Tree Depth,boost test err,boost train err,tree test err,tree train err
1,1,1.0,0.337167280562,0.337933333333,0.339414367457,0.339233333333
2,2,2.0,0.337954919267,0.3334,0.320447332453,0.3168
3,3,3.0,0.347476081266,0.350133333333,0.310636597401,0.3149
4,4,4.0,0.35361503,0.354033333333,0.321038061482,0.318733333333
5,5,5.0,0.367433456112,0.364566666667,0.311007250909,0.309666666667
6,6,6.0,0.354147844418,0.350966666667,0.311024625292,0.309533333333
7,7,7.0,0.385080037992,0.3884,0.312646234392,0.314166666667
8,8,8.0,0.355960571733,0.354166666667,0.310995667987,0.3074
9,9,9.0,0.377168902171,0.377166666667,0.309895290384,0.3095
10,10,10.0,0.368794449464,0.373966666667,0.310115365905,0.309933333333
