,Boost class num,boost test err,boost train err
1,1,"0.34190756656049043,0.34115631949035397,0.3421179157401286,0.3417573171464631,0.37037983051866097,0.3349960935152353,0.3412464691387704,0.35271049942905225,0.34171224232225494,0.32865556824328385","0.328,0.378,0.314,0.338,0.352,0.319,0.372,0.315,0.341,0.314"
3,3,"0.33694933589759,0.34627982450868444,0.3419676663261013,0.34189254161908766,0.37276879620169484,0.3387974036901256,0.33675401165935454,0.3349510186910271,0.35033655868742114,0.36600757257046695","0.334,0.337,0.324,0.329,0.321,0.324,0.347,0.322,0.336,0.35"
5,5,"0.3372047599014364,0.3260111785564036,0.3303984614460004,0.3287156680088948,0.3148776969769818,0.3277390468177174,0.3210228980106978,0.3280094957629665,0.349014363843981,0.32802452070436927","0.313,0.303,0.322,0.316,0.316,0.32,0.304,0.314,0.318,0.355"
7,7,"0.3098142917242623,0.3096189674860268,0.30895787006430675,0.31118156139191055,0.3040296892842118,0.31206803293467156,0.30348879139371354,0.3172065628944047,0.3072450267443957,0.32664222609531823","0.301,0.279,0.302,0.324,0.274,0.281,0.299,0.314,0.273,0.324"
9,9,"0.3122032574072961,0.3069745777991466,0.30876254582607127,0.29953723180479597,0.3266722759781237,0.3215187210769878,0.31411142496544264,0.2996574313360178,0.3197007031672576,0.317687361019292","0.289,0.291,0.293,0.289,0.317,0.293,0.284,0.287,0.291,0.303"
11,11,"0.3015205240699561,0.288854498467456,0.3186639822104694,0.30730512651000663,0.3010998257106797,0.3022116713744816,0.29315163170863634,0.30248212031973076,0.30991946631408135,0.3008143518240279","0.283,0.288,0.303,0.277,0.287,0.297,0.246,0.283,0.296,0.285"
13,13,"0.2867960814952822,0.28221347436745,0.3110313119778833,0.3268525752749564,0.2917242622753771,0.2886591742292205,0.2917543121581826,0.3083268225253922,0.29684776729370754,0.28045555622333074","0.254,0.258,0.27,0.316,0.253,0.268,0.255,0.29,0.28,0.29"
15,15,"0.29142376344732257,0.2884488250495823,0.28267924755093454,0.3001833042851133,0.2860598593665485,0.2878628523348759,0.2869914057335176,0.30143037442153975,0.28473766452310834,0.2851583628823848","0.272,0.26,0.267,0.274,0.254,0.273,0.258,0.288,0.254,0.283"
17,17,"0.2812518781176753,0.292175010517459,0.2787427129034197,0.28473766452310834,0.2907025662599916,0.2809063044654126,0.30285774385479897,0.2753320512050003,0.2870214556163231,0.27524190155658396","0.248,0.273,0.25,0.279,0.256,0.259,0.296,0.265,0.26,0.249"
19,19,"0.28646553278442216,0.2733938337640483,0.2733487589398401,0.2829496964961837,0.2832952701484464,0.2766392211070377,0.2935873550093155,0.2932417813570527,0.2803353566921089,0.27823186489572693","0.255,0.277,0.257,0.258,0.271,0.261,0.271,0.288,0.264,0.257"
21,21,"0.2698629725344071,0.27734539335296593,0.26882625157761886,0.2675942063825951,0.27399483142015746,0.2795841096219725,0.2708546186669872,0.28557906124166116,0.2799597331570407,0.29791453813330127","0.251,0.24,0.249,0.272,0.286,0.277,0.238,0.27,0.268,0.258"
23,23,"0.28341546967966824,0.2886591742292205,0.26903660075725705,0.27772101688803413,0.2731233848187992,0.27766091712242325,0.2787427129034197,0.27687962016948137,0.26810505439028787,0.28978604483442516","0.247,0.261,0.239,0.264,0.25,0.254,0.278,0.268,0.247,0.25"
25,25,"0.28684115631949036,0.27821683995432417,0.279223511028307,0.27462587895907203,0.2703287457178917,0.2790131618486688,0.2770448945249114,0.2799897830398461,0.27913336137989064,0.28057575575455257","0.274,0.242,0.256,0.259,0.233,0.256,0.239,0.261,0.251,0.267"
27,27,"0.27956908468056973,0.2818528757737845,0.27820181501292146,0.26778953062083055,0.2735290582366729,0.2711100426708336,0.275347076146403,0.27847226395817054,0.2695474487649498,0.28388124286315286","0.279,0.247,0.251,0.252,0.28,0.248,0.262,0.263,0.241,0.277"
29,29,"0.27255243704549553,0.2741150309513793,0.27107999278802813,0.2698629725344071,0.27292806058056374,0.27494140272852935,0.27420518059979565,0.28066590540296893,0.28027525692649796,0.26923192499549253","0.266,0.255,0.253,0.225,0.265,0.257,0.275,0.247,0.257,0.26"
31,31,"0.2686459522807861,0.26371777150069114,0.2736492577678947,0.2821233247190336,0.27734539335296593,0.27820181501292146,0.26497986657852035,0.2684055532183425,0.26981789771019893,0.26573111364865676","0.25,0.256,0.265,0.241,0.247,0.251,0.237,0.281,0.24,0.269"
33,33,"0.2666927098984314,0.27935873550093154,0.278337039485546,0.2722218883346355,0.281657551535549,0.2799897830398461,0.2569565478694633,0.2636426467936775,0.2810715788208426,0.26257587595408377","0.25,0.281,0.254,0.275,0.247,0.258,0.254,0.24,0.248,0.266"
35,35,"0.26392812068032934,0.271140092553639,0.26186970370815554,0.26388304585612116,0.2667377847226396,0.27198148927219185,0.2573471963459342,0.2614790552316846,0.27073441913576535,0.267323757437346","0.251,0.239,0.244,0.258,0.254,0.261,0.247,0.214,0.236,0.244"
