,Boost class num,boost test err,boost train err
1,1,0.339034797764,0.3316
6,6,0.321873309694,0.3192
11,11,0.30643067492,0.2926
16,16,0.288824448585,0.2692
21,21,0.283039846145,0.2616
26,26,0.27562053008,0.2652
31,31,0.267567161488,0.2444
36,36,0.266942123926,0.2442
41,41,0.26461025302,0.2414
46,46,0.261340825771,0.2416
51,51,0.261977883286,0.2372
56,56,0.256935512951,0.231
61,61,0.256505799627,0.2296
66,66,0.257148867119,0.2316
71,71,0.25580263237,0.2202
76,76,0.252100486808,0.2356
81,81,0.252926858585,0.229
86,86,0.248581645532,0.2304
91,91,0.247013041649,0.2256
96,96,0.247968627922,0.2292
