,Boost class num,boost test err,boost train err
1,1,0.362191237454,0.346666666667
6,6,0.329832521986,0.321
11,11,0.315523769457,0.295666666667
16,16,0.285759360538,0.280333333333
21,21,0.306639020774,0.286
26,26,0.287467195545,0.282666666667
31,31,0.27717010237,0.268666666667
36,36,0.288398741912,0.274
41,41,0.340645471483,0.306666666667
46,46,0.284241841457,0.258666666667
51,51,0.271235250516,0.26
56,56,0.291874511689,0.263333333333
61,61,0.30916321093,0.284333333333
66,66,0.265645972314,0.246
71,71,0.355720496023,0.331
76,76,0.293096540257,0.263666666667
81,81,0.291699220706,0.27
86,86,0.270468978504,0.250333333333
91,91,0.374997495843,0.335
96,96,0.306964561172,0.280333333333
