,Boost class num,boost test err,boost train err
1,1,"0.3418023919706713,0.34151691808401946,0.328204820001202,0.34171224232225494,0.3417422922050604,0.37261854678766754,0.34208786585732315,0.36172546427068936,0.3417573171464631,0.3416821924394495","0.335,0.354,0.344,0.341,0.339,0.337,0.316,0.377,0.338,0.343"
3,3,"0.3416821924394495,0.34154696796682493,0.3419826912675041,0.32734839834124646,0.3540777690967005,0.3346354949215698,0.32897109201274116,0.34328986116954147,0.3418474667948795,0.3354167918745117","0.343,0.352,0.323,0.313,0.331,0.343,0.33,0.343,0.332,0.341"
5,5,"0.3510126810505439,0.3255754552557245,0.32344191357653707,0.3246739587715608,0.3302181621491676,0.3402848728889957,0.3067792535609111,0.3234118636937316,0.3305637358014304,0.33723480978424186","0.353,0.314,0.283,0.328,0.287,0.335,0.308,0.307,0.307,0.315"
7,7,"0.32957208966885027,0.3066590540296893,0.3180329346715548,0.324884307951199,0.3041198389326282,0.3186790071518721,0.3062834304946211,0.30973916701724863,0.33377907326161427,0.3272582486928301","0.313,0.295,0.311,0.262,0.304,0.313,0.3,0.314,0.321,0.311"
9,9,"0.33305787607428333,0.30491616082697276,0.3112867359817297,0.3253651060760863,0.2930464571188172,0.311932808462047,0.3309393593364986,0.3143968988520945,0.3184686579722339,0.3008293767654306","0.301,0.292,0.313,0.294,0.262,0.302,0.299,0.313,0.307,0.291"
11,11,"0.30433018811226636,0.309829316665665,0.2995071819219905,0.30563735801430375,0.2973435903599976,0.3044954624676964,0.2974637898912194,0.30380431516317086,0.2952851733878238,0.3027976440891881","0.275,0.279,0.3,0.29,0.267,0.274,0.265,0.288,0.271,0.281"
13,13,"0.2965622934070557,0.2981849870785504,0.29716329106316486,0.29019171825229884,0.2963970190516257,0.30179097301520524,0.297043091531943,0.28637538313600575,0.2857593605384939,0.31134683574734057","0.29,0.287,0.268,0.269,0.277,0.276,0.306,0.255,0.252,0.285"
15,15,"0.2914988881543362,0.29131858885750345,0.286420457960214,0.2764589218102049,0.2806959552857744,0.30267744455796625,0.29306148206022,0.2832351703828355,0.30085942664823606,0.3051866097722219","0.237,0.284,0.267,0.257,0.265,0.278,0.286,0.27,0.275,0.287"
17,17,"0.2893352965923433,0.29240038463849993,0.29421840254823006,0.2786976380792115,0.29112326461926796,0.31262395576657254,0.29735861530140034,0.2880882264559168,0.29779433860207943,0.2945189013762846","0.258,0.283,0.277,0.26,0.264,0.29,0.294,0.289,0.301,0.267"
19,19,"0.2872318047959613,0.2995071819219905,0.28720175491315586,0.30306809303443716,0.28841877516677683,0.2880732015145141,0.2628913997235411,0.28984614460003605,0.2796592343289861,0.291453813330128","0.262,0.257,0.28,0.299,0.292,0.301,0.264,0.267,0.286,0.279"
21,21,"0.2892150970611215,0.28083117975839894,0.2940230783099946,0.31943025422200855,0.29026684295931243,0.27204158903780273,0.2866608570226576,0.28225854919165816,0.28030530680930343,0.2827393473165455","0.245,0.268,0.272,0.28,0.285,0.261,0.27,0.273,0.273,0.276"
23,23,"0.28155237694572993,0.27841216419255965,0.28224352425025545,0.2888695234088587,0.2788478874932388,0.29052226696315886,0.2778111665364505,0.2702686459522808,0.2812669030590781,0.28968087024460604","0.306,0.244,0.266,0.275,0.267,0.275,0.257,0.247,0.267,0.254"
25,25,"0.2991165334455196,0.28557906124166116,0.26640723601177957,0.2555291784362041,0.2766542460484404,0.2851283129995793,0.2553639040807741,0.2742803053068093,0.29315163170863634,0.2689013762846325","0.298,0.245,0.246,0.25,0.261,0.287,0.23,0.265,0.279,0.271"
27,27,"0.28377606827333374,0.2810565538794399,0.2965172185828475,0.2755424003846385,0.2853536871206202,0.28741210409279405,0.2749564276699321,0.2922801851072781,0.30332351703828353,0.28726185467876675","0.269,0.26,0.263,0.27,0.264,0.244,0.262,0.262,0.277,0.268"
29,29,"0.2946841757317146,0.2923252599314863,0.2678496303864415,0.2779163411262696,0.28068093034437164,0.2744305547208366,0.2920698359276399,0.2799897830398461,0.2715908407957209,0.2950597992667829","0.269,0.291,0.263,0.236,0.27,0.264,0.29,0.246,0.236,0.29"
31,31,"0.28045555622333074,0.28780275256926496,0.27675942063825953,0.2836708936835146,0.27476110343169663,0.2858194603041048,0.2709147184325981,0.28177775106677083,0.277450567942785,0.2769096700522868","0.258,0.271,0.294,0.274,0.266,0.271,0.248,0.261,0.265,0.272"
33,33,"0.28853897469799866,0.26589638800408677,0.25803834365045974,0.268706052046397,0.27588797403690124,0.26935212452671436,0.27008834665544806,0.288463849990985,0.2740549311857684,0.28104152893803713","0.241,0.252,0.229,0.246,0.266,0.232,0.263,0.278,0.247,0.24"
35,35,"0.26223030230182104,0.27549732556043033,0.2775407175912014,0.27289801069775826,0.2904621671975479,0.27273273634232825,0.2809664042310235,0.2676392812068033,0.2670833583749023,0.2782919646613378","0.246,0.278,0.276,0.22,0.28,0.264,0.271,0.271,0.282,0.267"
