,Boost class num,boost test err,boost train err
1,1,0.335161367871,0.322
6,6,0.323572129735,0.327
11,11,0.304595628744,0.276
16,16,0.293226756416,0.268333333333
21,21,0.308782579081,0.302666666667
26,26,0.300929543041,0.280333333333
31,31,0.324939399403,0.324666666667
36,36,0.320106376585,0.312666666667
41,41,0.352189634794,0.340333333333
46,46,0.278973095338,0.244666666667
51,51,0.294624075966,0.276666666667
56,56,0.338742312238,0.319666666667
61,61,0.358740509245,0.350333333333
66,66,0.345383336338,0.312
71,71,0.339573692329,0.309333333333
76,76,0.305917823587,0.302333333333
81,81,0.454840034457,0.433666666667
86,86,0.308091431777,0.298333333333
91,91,0.359411623295,0.341666666667
96,96,0.329997796342,0.322333333333
101,101,0.465036961356,0.440333333333
106,106,0.368191197388,0.354333333333
111,111,0.348713865016,0.325666666667
116,116,0.41548470461,0.392333333333
