,Boost class num,boost test err,boost train err
1,1,0.35456157221,0.3498
4,4,0.323730392451,0.3246
7,7,0.317621251277,0.303
10,10,0.302902818679,0.2828
13,13,0.305754552557,0.2912
16,16,0.289209087085,0.2606
19,19,0.27981549372,0.2592
22,22,0.282450868442,0.2662
25,25,0.27259751187,0.254
28,28,0.276567101388,0.2466
31,31,0.270340765671,0.2494
34,34,0.271569805878,0.243
37,37,0.267347797344,0.2316
40,40,0.263687721618,0.2328
43,43,0.261863693732,0.2338
46,46,0.264255664403,0.2404
49,49,0.264264679368,0.2388
52,52,0.264844642106,0.2362
55,55,0.254582607128,0.2376
58,58,0.258669391189,0.2312
61,61,0.255952881784,0.2286
64,64,0.255087445159,0.237
67,67,0.254979265581,0.2436
70,70,0.255424003846,0.2294
73,73,0.253185287577,0.2266
76,76,0.255550213354,0.2306
79,79,0.250591982691,0.2216
82,82,0.252851733878,0.224
85,85,0.25211551175,0.2286
88,88,0.250655087445,0.2288
91,91,0.253086122964,0.2272
94,94,0.247475809844,0.2262
97,97,0.251854077769,0.2258
100,100,0.245570647274,0.2256
103,103,0.250450748242,0.2254
106,106,0.248966284031,0.2306
109,109,0.247370635255,0.22
112,112,0.252103491796,0.2314
115,115,0.246898852094,0.2128
118,118,0.245020734419,0.2262
121,121,0.246979986778,0.2266
124,124,0.247277480618,0.217
127,127,0.248169962137,0.2224
130,130,0.249047418715,0.219
133,133,0.2448975299,0.2214
136,136,0.248467455977,0.224
139,139,0.245925235892,0.2188
142,142,0.243578340044,0.2106
145,145,0.248386321293,0.2278
148,148,0.2429743374,0.2122
151,151,0.240648476471,0.2226
154,154,0.245582667228,0.2132
157,157,0.243121581826,0.2194
160,160,0.245128913997,0.2112
163,163,0.245976320692,0.215
166,166,0.241117254643,0.2166
169,169,0.24248452431,0.2146
172,172,0.242926257588,0.2134
175,175,0.240699561272,0.2114
178,178,0.2379229521,0.219
181,181,0.242036781057,0.2212
184,184,0.243905883767,0.2166
187,187,0.243404050724,0.2218
190,190,0.240254823006,0.211
193,193,0.241231444197,0.2114
196,196,0.244458801611,0.215
199,199,0.242105895787,0.2124
202,202,0.243229761404,0.2192
205,205,0.240849810686,0.2116
208,208,0.240837790733,0.2092
211,211,0.240026443897,0.2166
214,214,0.240356992608,0.2216
217,217,0.238415770178,0.21
220,220,0.241270509045,0.223
223,223,0.241324598834,0.213
226,226,0.24070256626,0.2192
229,229,0.240465172186,0.212
232,232,0.240185708276,0.2134
235,235,0.238037141655,0.2212
238,238,0.240973015205,0.2046
241,241,0.240546306869,0.2094
244,244,0.241009075065,0.2158
247,247,0.237336979386,0.2212
250,250,0.240011418955,0.22
253,253,0.241015085041,0.207
256,256,0.241832441853,0.2108
259,259,0.238169361139,0.216
262,262,0.239569685678,0.2174
265,265,0.238025121702,0.2026
268,268,0.238280545706,0.218
271,271,0.24078971092,0.2066
274,274,0.239945309213,0.2092
277,277,0.238788388725,0.2098
280,280,0.239353326522,0.2126
283,283,0.238572029569,0.2042
286,286,0.23729490955,0.2062
289,289,0.23757437346,0.205
292,292,0.237081555382,0.2056
295,295,0.236808101448,0.2062
298,298,0.239954324178,0.2102
