,Boost class num,boost test err,boost train err
1,1,0.346397019052,0.3371
11,11,0.315366007573,0.2968
21,21,0.308002283791,0.2878
31,31,0.286871206202,0.2598
41,41,0.319089188052,0.2981
51,51,0.297031071579,0.2826
61,61,0.289150489813,0.2622
71,71,0.322388665184,0.2988
81,81,0.292709898431,0.2598
91,91,0.330401466434,0.3125
101,101,0.317009736162,0.2846
111,111,0.287732135345,0.2744
121,121,0.301983292265,0.273
131,131,0.277325860929,0.2418
141,141,0.305347376645,0.2824
151,151,0.347654606647,0.3251
161,161,0.293826251578,0.2572
171,171,0.331272913036,0.3036
181,181,0.336907266062,0.3066
191,191,0.316758819641,0.2944
201,201,0.327429533025,0.2968
211,211,0.342855640363,0.3215
221,221,0.341625097662,0.3204
231,231,0.312696075485,0.2832
241,241,0.301340224773,0.278
251,251,0.352375443236,0.3269
261,261,0.361778051566,0.3394
271,271,0.32660766873,0.2865
281,281,0.306970070317,0.2782
291,291,0.308516136787,0.2828
