,Boost class num,boost test err,boost train err
1,1,"0.1152442448062886,0.11047164514317799,0.11299831555306007,0.11215609208309939,0.11341942728804043,0.11412128017967434,0.11426165075800113,0.1128579449747333,0.11482313307130826,0.11566535654126894","0.099,0.133,0.115,0.121,0.112,0.107,0.106,0.116,0.102,0.096"
3,3,"0.06667602470522178,0.03130263896687254,0.076221224031443,0.07594048287478944,0.030881527231892195,0.059376754632229085,0.06695676586187535,0.07650196518809657,0.08267827063447501,0.030881527231892195","0.077,0.029,0.081,0.083,0.032,0.053,0.075,0.079,0.083,0.032"
5,5,"0.06035934868051657,0.07692307692307693,0.058955642897248736,0.02849522740033689,0.04098820887142055,0.02737226277372263,0.03635597978663672,0.07608085345311623,0.027091521617069063,0.050673778775968556","0.058,0.076,0.06,0.021,0.036,0.021,0.037,0.082,0.023,0.047"
7,7,"0.037619314991577765,0.020494104435710276,0.042391914654688376,0.0381807973048849,0.07650196518809657,0.022038180797304886,0.03944413250982594,0.03790005614823133,0.04337450870297586,0.0373385738349242","0.036,0.022,0.042,0.032,0.079,0.027,0.031,0.026,0.039,0.03"
9,9,"0.02765300393037619,0.03396967995508141,0.0364963503649635,0.011229646266142616,0.025266704098820886,0.016984839977540706,0.022740033688938798,0.02330151600224593,0.029337450870297585,0.02231892195395845","0.027,0.03,0.032,0.008,0.028,0.015,0.022,0.018,0.023,0.017"
11,11,"0.022459292532285232,0.04576080853453116,0.0405670971364402,0.022740033688938798,0.02330151600224593,0.037198203256597416,0.025266704098820886,0.025547445255474453,0.03439079169006176,0.016704098820887144","0.024,0.042,0.039,0.022,0.018,0.031,0.02,0.026,0.035,0.017"
13,13,"0.02653003930376193,0.028214486243683324,0.019511510387422795,0.019371139809096015,0.026810780460415497,0.016984839977540706,0.011650758001122965,0.03102189781021898,0.02428411005053341,0.010247052217855138","0.027,0.031,0.021,0.022,0.025,0.015,0.005,0.035,0.011,0.015"
15,15,"0.016423357664233577,0.020353733857383493,0.020353733857383493,0.020072992700729927,0.02063447501403706,0.011089275687815833,0.01403705783267827,0.018809657495788883,0.029758562605277934,0.019230769230769232","0.019,0.015,0.015,0.017,0.013,0.009,0.012,0.026,0.02,0.023"
17,17,"0.010668163952835485,0.016423357664233577,0.03705783267827063,0.017265581134194272,0.022740033688938798,0.011650758001122965,0.020774845592363842,0.006457046603032005,0.02063447501403706,0.015160022459292532","0.012,0.019,0.024,0.013,0.022,0.005,0.012,0.002,0.021,0.012"
19,19,"0.015721504772599662,0.010948905109489052,0.0022459292532285235,0.0022459292532285235,0.012633352049410443,0.013756316676024706,0.019511510387422795,0.020494104435710276,0.011370016844469399,0.027933745087029758","0.016,0.01,0.0,0.0,0.01,0.014,0.013,0.014,0.007,0.021"
