,Boost class num,boost test err,boost train err
1,1,"0.1120157215047726,0.11187535092644582,0.11327905670971364,0.11454239191465469,0.113700168444694,0.11313868613138686,0.11454239191465469,0.11384053902302077,0.11229646266142616,0.1135597978663672","0.122,0.123,0.113,0.104,0.11,0.114,0.104,0.109,0.12,0.111"
4,4,"0.05811341942728804,0.06302638966872544,0.05530600786075238,0.06723750701852892,0.0772038180797305,0.025968556990454802,0.05488489612577204,0.04183043234138124,0.042391914654688376,0.07762492981471084","0.062,0.055,0.046,0.057,0.074,0.031,0.049,0.046,0.042,0.071"
7,7,"0.07130825379000562,0.023582257158899493,0.03509264458169568,0.051516002245929254,0.04927007299270073,0.048427849522740034,0.05432341381246491,0.057271195957327346,0.076221224031443,0.06302638966872544","0.068,0.016,0.03,0.053,0.057,0.047,0.045,0.06,0.081,0.063"
10,10,"0.017265581134194272,0.030881527231892195,0.01712521055586749,0.0300393037619315,0.07201010668163953,0.02540707467714767,0.048427849522740034,0.016282987085906794,0.023441886580572713,0.016282987085906794","0.013,0.028,0.014,0.026,0.063,0.035,0.039,0.02,0.017,0.02"
13,13,"0.01754632229084784,0.025266704098820886,0.016002245929253228,0.02582818641212802,0.02540707467714767,0.012212240314430096,0.034531162268388545,0.020774845592363842,0.022740033688938798,0.01656372824256036","0.011,0.028,0.01,0.024,0.027,0.009,0.022,0.02,0.022,0.018"
16,16,"0.016984839977540706,0.010948905109489052,0.025968556990454802,0.011510387422796182,0.016844469399213923,0.016844469399213923,0.02582818641212802,0.018809657495788883,0.011089275687815833,0.020072992700729927","0.015,0.01,0.031,0.006,0.016,0.016,0.024,0.026,0.009,0.017"
19,19,"0.017265581134194272,0.011370016844469399,0.010106681639528355,0.006457046603032005,0.01558113419427288,0.01909039865244245,0.016984839977540706,0.019230769230769232,0.019230769230769232,0.020072992700729927","0.013,0.007,0.016,0.002,0.017,0.016,0.015,0.023,0.023,0.017"
22,22,"0.020494104435710276,0.0029477821448624366,0.012773722627737226,0.005474452554744526,0.02133632790567097,0.0018248175182481751,0.018388545760808533,0.0022459292532285235,0.008141493542953397,0.015861875350926445","0.014,0.007,0.009,0.001,0.018,0.003,0.023,0.0,0.006,0.007"
25,25,"0.0050533408197641775,0.018809657495788883,0.004912970241437394,0.004070746771476699,0.013615946097697923,0.007580011229646266,0.01656372824256036,0.001403705783267827,0.0021055586749017404,0.007580011229646266","0.002,0.014,0.005,0.003,0.007,0.01,0.018,0.006,0.001,0.01"
28,28,"0.004211117349803481,0.004351487928130264,0.006035934868051656,0.004912970241437394,0.0022459292532285235,0.0022459292532285235,0.004772599663110612,0.007018528916339135,0.005334081976417743,0.0019651880965749578","0.002,0.001,0.005,0.005,0.0,0.0,0.006,0.004,0.002,0.002"
31,31,"0.00673778775968557,0.011229646266142616,0.0030881527231892197,0.016282987085906794,0.0022459292532285235,0.0022459292532285235,0.0036496350364963502,0.0021055586749017404,0.0007018528916339135,0.0018248175182481751","0.004,0.008,0.002,0.006,0.0,0.0,0.006,0.001,0.003,0.003"
34,34,"0.0051937113980909605,0.005334081976417743,0.0016844469399213925,0.006457046603032005,0.0039303761931499155,0.0036496350364963502,0.0022459292532285235,0.004211117349803481,0.016423357664233577,0.004912970241437394","0.003,0.002,0.004,0.002,0.004,0.002,0.0,0.002,0.011,0.003"
37,37,"0.0021055586749017404,0.0021055586749017404,0.0050533408197641775,0.0021055586749017404,0.0016844469399213925,0.0011229646266142617,0.004211117349803481,0.0030881527231892197,0.009404828747894441,0.0050533408197641775","0.001,0.001,0.004,0.001,0.002,0.0,0.002,0.002,0.005,0.004"
40,40,"0.003790005614823133,0.0018248175182481751,0.012773722627737226,0.004211117349803481,0.005614823133071308,0.004351487928130264,0.0036496350364963502,0.0016844469399213925,0.0022459292532285235,0.0021055586749017404","0.001,0.001,0.005,0.002,0.004,0.001,0.002,0.002,0.0,0.001"
43,43,"0.0021055586749017404,0.0021055586749017404,0.007720381807973049,0.0011229646266142617,0.00673778775968557,0.0016844469399213925,0.0051937113980909605,0.0008422234699606962,0.0019651880965749578,0.004632229084783829","0.001,0.001,0.001,0.0,0.0,0.002,0.003,0.002,0.002,0.001"
46,46,"0.0039303761931499155,0.0036496350364963502,0.0019651880965749578,0.0011229646266142617,0.0025266704098820887,0.003368893879842785,0.0032285233015160023,0.003368893879842785,0.0008422234699606962,0.0072992700729927005","0.0,0.002,0.002,0.0,0.002,0.0,0.003,0.0,0.002,0.002"
49,49,"0.0011229646266142617,0.0018248175182481751,0.0016844469399213925,0.0021055586749017404,0.004070746771476699,0.0036496350364963502,0.0018248175182481751,0.009124087591240875,0.0019651880965749578,0.0016844469399213925","0.0,0.001,0.0,0.001,0.003,0.002,0.001,0.003,0.002,0.001"
52,52,"0.0011229646266142617,0.0029477821448624366,0.0011229646266142617,0.0022459292532285235,0.0008422234699606962,0.0026670409882088714,0.0011229646266142617,0.0021055586749017404,0.0019651880965749578,0.004491858506457047","0.0,0.003,0.0,0.0,0.0,0.001,0.0,0.001,0.002,0.002"
55,55,"0.004211117349803481,0.0019651880965749578,0.0015440763615946099,0.0,0.002386299831555306,0.0039303761931499155,0.0016844469399213925,0.0009825940482874789,0.0029477821448624366,0.0015440763615946099","0.002,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001"
58,58,"0.0,0.001403705783267827,0.0011229646266142617,0.0022459292532285235,0.0011229646266142617,0.0011229646266142617,0.0011229646266142617,0.004772599663110612,0.00028074115665356543,0.0011229646266142617","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0"
61,61,"0.0009825940482874789,0.0019651880965749578,0.0022459292532285235,0.0011229646266142617,0.0019651880965749578,0.0,0.0030881527231892197,0.0005614823133071309,0.0009825940482874789,0.0022459292532285235","0.001,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.001,0.0"
64,64,"0.0021055586749017404,0.0018248175182481751,0.0,0.001403705783267827,0.0004211117349803481,0.0,0.0016844469399213925,0.003368893879842785,0.0022459292532285235,0.0008422234699606962","0.001,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0"
