,Boost class num,boost test err,boost train err
1,1,"0.11510387422796182,0.11103312745648512,0.11468276249298147,0.11398090960134756,0.11706906232453677,0.11552498596294217,0.1160864682762493,0.1135597978663672,0.11468276249298147,0.1103312745648512","0.1,0.129,0.103,0.108,0.086,0.097,0.093,0.111,0.103,0.134"
3,3,"0.058394160583941604,0.06737787759685569,0.06948343627175745,0.07088714205502526,0.07650196518809657,0.06737787759685569,0.06793935991016282,0.06204379562043796,0.06807973048848961,0.057271195957327346","0.06,0.072,0.057,0.063,0.079,0.072,0.068,0.062,0.067,0.068"
5,5,"0.05951712521055587,0.04688377316114543,0.07608085345311623,0.0446378439079169,0.0446378439079169,0.0779056709713644,0.04169006176305446,0.0478663672094329,0.057692307692307696,0.076221224031443","0.056,0.046,0.082,0.042,0.042,0.069,0.047,0.043,0.069,0.081"
7,7,"0.05291970802919708,0.03775968556990455,0.02231892195395845,0.04435710275126333,0.06457046603032005,0.02288040426726558,0.022038180797304886,0.05755193711398091,0.04505895564289725,0.05362156092083099","0.055,0.035,0.025,0.044,0.056,0.021,0.027,0.058,0.023,0.05"
9,9,"0.022459292532285232,0.02807411566535654,0.03228523301516002,0.020353733857383493,0.023722627737226276,0.027512633352049412,0.03944413250982594,0.03256597417181359,0.020353733857383493,0.05362156092083099","0.024,0.016,0.026,0.015,0.015,0.012,0.031,0.024,0.023,0.05"
11,11,"0.025968556990454802,0.011650758001122965,0.03481190342504211,0.008702975856260528,0.03677709152161707,0.030460415496911846,0.025126333520494103,0.01754632229084784,0.030460415496911846,0.04702414373947221","0.031,0.013,0.024,0.002,0.034,0.039,0.029,0.011,0.015,0.041"
13,13,"0.011370016844469399,0.032004491858506456,0.021897810218978103,0.03270634475014037,0.019511510387422795,0.01712521055586749,0.021055586749017405,0.03186412128017967,0.016423357664233577,0.026108927568781585","0.007,0.028,0.02,0.023,0.021,0.014,0.018,0.029,0.019,0.022"
15,15,"0.022038180797304886,0.027793374508702975,0.010527793374508702,0.0021055586749017404,0.02961819202695115,0.016282987085906794,0.020353733857383493,0.023161145423919147,0.01712521055586749,0.010527793374508702","0.019,0.026,0.013,0.001,0.025,0.02,0.015,0.019,0.014,0.013"
17,17,"0.006316676024705222,0.01656372824256036,0.011370016844469399,0.014458169567658618,0.01656372824256036,0.017827063447501405,0.010808534531162269,0.014738910724312184,0.026249298147108364,0.010527793374508702","0.003,0.018,0.007,0.009,0.018,0.009,0.011,0.015,0.021,0.013"
19,19,"0.008702975856260528,0.01403705783267827,0.015300393037619315,0.021055586749017405,0.013194834362717574,0.00884334643458731,0.011791128579449747,0.008001122964626614,0.032425603593486806,0.024705221785513758","0.002,0.012,0.011,0.014,0.018,0.001,0.008,0.007,0.025,0.016"
21,21,"0.004211117349803481,0.0021055586749017404,0.011229646266142616,0.014177428411005054,0.012212240314430096,0.014598540145985401,0.010668163952835485,0.011229646266142616,0.0019651880965749578,0.005895564289724873","0.002,0.001,0.008,0.011,0.009,0.016,0.012,0.008,0.002,0.006"
23,23,"0.007860752386299831,0.008141493542953397,0.008001122964626614,0.010948905109489052,0.0021055586749017404,0.0021055586749017404,0.0021055586749017404,0.0021055586749017404,0.004772599663110612,0.024003368893879842","0.008,0.006,0.007,0.01,0.001,0.001,0.001,0.001,0.006,0.013"
25,25,"0.009685569904548007,0.008001122964626614,0.019371139809096015,0.013756316676024706,0.015300393037619315,0.01754632229084784,0.0051937113980909605,0.0016844469399213925,0.006035934868051656,0.011370016844469399","0.019,0.007,0.022,0.014,0.011,0.011,0.003,0.004,0.001,0.007"
27,27,"0.0022459292532285235,0.0021055586749017404,0.00828186412128018,0.0022459292532285235,0.009825940482874789,0.004070746771476699,0.006176305446378439,0.011229646266142616,0.0186692869174621,0.0021055586749017404","0.0,0.001,0.005,0.0,0.006,0.003,0.004,0.008,0.007,0.001"
29,29,"0.008562605277933745,0.007860752386299831,0.0035092644581695676,0.0018248175182481751,0.003368893879842785,0.0039303761931499155,0.0018248175182481751,0.0016844469399213925,0.011650758001122965,0.010106681639528355","0.003,0.008,0.003,0.003,0.004,0.004,0.003,0.004,0.005,0.008"
31,31,"0.006457046603032005,0.00884334643458731,0.0050533408197641775,0.0035092644581695676,0.006035934868051656,0.0021055586749017404,0.0022459292532285235,0.020072992700729927,0.0021055586749017404,0.006457046603032005","0.002,0.005,0.004,0.003,0.005,0.001,0.0,0.017,0.001,0.002"
33,33,"0.0,0.0021055586749017404,0.004211117349803481,0.006597417181358787,0.006457046603032005,0.003790005614823133,0.009264458169567658,0.0019651880965749578,0.01193149915777653,0.0019651880965749578","0.0,0.001,0.002,0.005,0.002,0.005,0.006,0.002,0.003,0.002"
