,Boost class num,boost test err,boost train err
1,1,0.112128017967,0.1212
4,4,0.0745087029759,0.0692
7,7,0.0342223469961,0.0354
10,10,0.0292251544076,0.0278
13,13,0.0243121841662,0.0236
16,16,0.0186131386861,0.0162
19,19,0.0146266142617,0.0078
22,22,0.0171532846715,0.0114
25,25,0.00898371701291,0.0064
28,28,0.0064008983717,0.0032
31,31,0.00693430656934,0.0034
34,34,0.00440763615946,0.003
37,37,0.00306007860752,0.0022
40,40,0.00233015160022,0.001
43,43,0.00412689500281,0.0022
46,46,0.00328467153285,0.0018
49,49,0.00314430095452,0.0008
52,52,0.0013756316676,0.0006
55,55,0.00233015160022,0.0014
58,58,0.00115103874228,0.0006
61,61,0.0021055586749,0.001
64,64,0.00227400336889,0.0002
67,67,0.00103874227962,0.0002
70,70,0.0013756316676,0.0002
73,73,0.00182481751825,0.0
76,76,0.00123526108928,0.0
79,79,0.000729927007299,0.0004
82,82,0.00109489051095,0.0002
85,85,0.00157215047726,0.0
88,88,0.00221785513756,0.0
91,91,0.00078607523863,0.0
94,94,0.00112296462661,0.0
97,97,0.00101066816395,0.0
100,100,0.00078607523863,0.0
103,103,0.000842223469961,0.0
106,106,0.00112296462661,0.0
109,109,0.00112296462661,0.0
112,112,0.00103874227962,0.0
115,115,0.00078607523863,0.0
118,118,0.00171252105559,0.0
121,121,0.00157215047726,0.0
124,124,0.00157215047726,0.0
127,127,0.00109489051095,0.0
130,130,0.0014598540146,0.0
133,133,0.00131948343627,0.0
136,136,0.000701852891634,0.0
139,139,0.00134755755194,0.0
142,142,0.00162829870859,0.0
145,145,0.00123526108928,0.0
148,148,0.000729927007299,0.0
151,151,0.00151600224593,0.0
154,154,0.00101066816395,0.0
157,157,0.00112296462661,0.0
160,160,0.000898371701291,0.0
163,163,0.00101066816395,0.0
166,166,0.00101066816395,0.0
169,169,0.00117911285794,0.0
172,172,0.000336889387984,0.0
175,175,0.00101066816395,0.0
178,178,0.00157215047726,0.0
181,181,0.00230207748456,0.0
184,184,0.00103874227962,0.0
187,187,0.00179674340258,0.0
190,190,0.00109489051095,0.0
193,193,0.00134755755194,0.0
196,196,0.00140370578327,0.0
199,199,0.00117911285794,0.0
202,202,0.00112296462661,0.0
205,205,0.00112296462661,0.0
208,208,0.00123526108928,0.0
211,211,0.00179674340258,0.0
214,214,0.0014598540146,0.0
217,217,0.000561482313307,0.0
220,220,0.0014598540146,0.0
223,223,0.0014598540146,0.0
226,226,0.00168444693992,0.0
229,229,0.00154407636159,0.0
232,232,0.00134755755194,0.0
235,235,0.00308815272319,0.0
238,238,0.00112296462661,0.0
241,241,0.00134755755194,0.0
244,244,0.00165637282426,0.0
247,247,0.000449185850646,0.0
250,250,0.00123526108928,0.0
253,253,0.0014598540146,0.0
256,256,0.00224592925323,0.0
259,259,0.00112296462661,0.0
262,262,0.000898371701291,0.0
265,265,0.0014598540146,0.0
268,268,0.00112296462661,0.0
271,271,0.00078607523863,0.0
274,274,0.000561482313307,0.0
277,277,0.00148792813026,0.0
280,280,0.000449185850646,0.0
283,283,0.00106681639528,0.0
286,286,0.000336889387984,0.0
289,289,0.00134755755194,0.0
292,292,0.000561482313307,0.0
295,295,0.00123526108928,0.0
298,298,0.00101066816395,0.0
