,Boost class num,boost test err,boost train err
1,1,0.113756316676,0.1096
4,4,0.117658618754,0.1146
7,7,0.0518950028074,0.0475
10,10,0.0298287478944,0.0275
13,13,0.0172515440764,0.0147
16,16,0.0149635036496,0.0122
19,19,0.0113138686131,0.0102
22,22,0.0103032004492,0.0078
25,25,0.00656934306569,0.0052
28,28,0.0120297585626,0.0083
31,31,0.00752386299832,0.0052
34,34,0.00478663672094,0.0025
37,37,0.00470241437395,0.0026
40,40,0.00327063447501,0.0016
43,43,0.00404267265581,0.0023
46,46,0.0021897810219,0.0004
49,49,0.00313026389669,0.0013
52,52,0.00414093206064,0.0019
55,55,0.00237226277372,0.0006
58,58,0.00190903986524,0.0005
61,61,0.00224592925323,0.0004
64,64,0.00216170690623,0.0005
67,67,0.00256878158338,0.0005
70,70,0.00230207748456,0.0002
73,73,0.00317237507019,0.0013
76,76,0.00172655811342,0.0001
79,79,0.00244244806289,0.0006
82,82,0.00158618753509,0.0003
85,85,0.00101066816395,0.0
88,88,0.0020634475014,0.0
91,91,0.0015019651881,0.0002
94,94,0.00119314991578,0.0002
97,97,0.00140370578327,0.0
100,100,0.0013756316676,0.0002
103,103,0.00099663110612,0.0
106,106,0.00160022459293,0.0
109,109,0.00203537338574,0.0005
112,112,0.00161426165076,0.0001
115,115,0.0014177428411,0.0001
118,118,0.00116507580011,0.0
121,121,0.00169848399775,0.0
124,124,0.00123526108928,0.0
127,127,0.00168444693992,0.0
130,130,0.00174059517125,0.0
133,133,0.00140370578327,0.0
136,136,0.00108085345312,0.0
139,139,0.00193711398091,0.0
142,142,0.00112296462661,0.0
145,145,0.00113700168445,0.0
148,148,0.000954519932622,0.0
151,151,0.00148792813026,0.0
154,154,0.00115103874228,0.0
157,157,0.00116507580011,0.0
160,160,0.00122122403144,0.0
163,163,0.00120718697361,0.0
166,166,0.000631667602471,0.0
169,169,0.000870297585626,0.0
172,172,0.00101066816395,0.0
175,175,0.00124929814711,0.0
178,178,0.0013756316676,0.0
181,181,0.000589556428972,0.0
184,184,0.00117911285794,0.0
187,187,0.000954519932622,0.0
190,190,0.0015019651881,0.0
193,193,0.0014598540146,0.0
196,196,0.0013756316676,0.0
199,199,0.00102470522179,0.0
202,202,0.0013756316676,0.0
205,205,0.00109489051095,0.0
208,208,0.00106681639528,0.0
211,211,0.000828186412128,0.0
214,214,0.00148792813026,0.0
217,217,0.00136159460977,0.0
220,220,0.00144581695677,0.0
223,223,0.000659741718136,0.0
226,226,0.00131948343627,0.0
229,229,0.00168444693992,0.0
232,232,0.00195115103874,0.0
235,235,0.00138966872544,0.0
238,238,0.00120718697361,0.0
241,241,0.00148792813026,0.0
244,244,0.00130544637844,0.0
247,247,0.00151600224593,0.0
250,250,0.00131948343627,0.0
253,253,0.0014177428411,0.0
256,256,0.000898371701291,0.0
259,259,0.00108085345312,0.0
262,262,0.00140370578327,0.0
265,265,0.0014598540146,0.0
268,268,0.000954519932622,0.0
271,271,0.00124929814711,0.0
274,274,0.00113700168445,0.0
277,277,0.000842223469961,0.0
280,280,0.00120718697361,0.0
283,283,0.00165637282426,0.0
286,286,0.00110892756878,0.0
289,289,0.00143177989893,0.0
292,292,0.00165637282426,0.0
295,295,0.00109489051095,0.0
298,298,0.0021476698484,0.0
