,Boost class num,boost test err,boost train err
1,1,"0.05511811023622047,0.04330708661417323,0.047244094488188976,0.051181102362204724,0.05511811023622047,0.04330708661417323,0.04330708661417323,0.05905511811023622,0.05511811023622047,0.047244094488188976","0.027777777777777776,0.044444444444444446,0.03888888888888889,0.03333333333333333,0.027777777777777776,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.05555555555555555,0.03888888888888889"
7,7,"0.06299212598425197,0.03937007874015748,0.047244094488188976,0.04330708661417323,0.03543307086614173,0.01968503937007874,0.04330708661417323,0.04330708661417323,0.05905511811023622,0.051181102362204724","0.011111111111111112,0.03888888888888889,0.044444444444444446,0.027777777777777776,0.05,0.05,0.03888888888888889,0.022222222222222223,0.027777777777777776,0.022222222222222223"
13,13,"0.023622047244094488,0.031496062992125984,0.03543307086614173,0.04330708661417323,0.04330708661417323,0.027559055118110236,0.03937007874015748,0.04330708661417323,0.03937007874015748,0.027559055118110236","0.05555555555555555,0.03888888888888889,0.03333333333333333,0.022222222222222223,0.027777777777777776,0.044444444444444446,0.011111111111111112,0.011111111111111112,0.027777777777777776,0.022222222222222223"
19,19,"0.03937007874015748,0.031496062992125984,0.047244094488188976,0.06692913385826772,0.04330708661417323,0.027559055118110236,0.047244094488188976,0.023622047244094488,0.05905511811023622,0.051181102362204724","0.016666666666666666,0.022222222222222223,0.027777777777777776,0.0,0.016666666666666666,0.022222222222222223,0.005555555555555556,0.05,0.03333333333333333,0.016666666666666666"
25,25,"0.027559055118110236,0.047244094488188976,0.07480314960629922,0.04330708661417323,0.051181102362204724,0.06692913385826772,0.03937007874015748,0.03937007874015748,0.03543307086614173,0.04330708661417323","0.022222222222222223,0.005555555555555556,0.0,0.005555555555555556,0.0,0.0,0.011111111111111112,0.016666666666666666,0.011111111111111112,0.005555555555555556"
31,31,"0.05905511811023622,0.047244094488188976,0.05511811023622047,0.05511811023622047,0.027559055118110236,0.027559055118110236,0.04330708661417323,0.027559055118110236,0.051181102362204724,0.051181102362204724","0.016666666666666666,0.0,0.0,0.011111111111111112,0.027777777777777776,0.005555555555555556,0.005555555555555556,0.016666666666666666,0.0,0.0"
37,37,"0.03543307086614173,0.06692913385826772,0.031496062992125984,0.03543307086614173,0.05905511811023622,0.03543307086614173,0.05905511811023622,0.05905511811023622,0.027559055118110236,0.051181102362204724","0.016666666666666666,0.0,0.005555555555555556,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.0,0.016666666666666666,0.0"
43,43,"0.023622047244094488,0.027559055118110236,0.04330708661417323,0.03543307086614173,0.023622047244094488,0.03543307086614173,0.047244094488188976,0.051181102362204724,0.04330708661417323,0.03543307086614173","0.022222222222222223,0.011111111111111112,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112,0.0,0.005555555555555556,0.0,0.005555555555555556"
49,49,"0.05905511811023622,0.04330708661417323,0.04330708661417323,0.051181102362204724,0.031496062992125984,0.047244094488188976,0.023622047244094488,0.03543307086614173,0.04330708661417323,0.051181102362204724","0.0,0.016666666666666666,0.0,0.005555555555555556,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.005555555555555556,0.005555555555555556"
55,55,"0.03937007874015748,0.031496062992125984,0.051181102362204724,0.05905511811023622,0.051181102362204724,0.05905511811023622,0.04330708661417323,0.03543307086614173,0.05511811023622047,0.047244094488188976","0.005555555555555556,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0"
